1.053373217582702637e-01 8.544346690177917480e-01 8.077906444668769836e-03 3.215015679597854614e-02
3.338105231523513794e-02 1.793586462736129761e-01 1.336647719144821167e-01 6.535955071449279785e-01
3.742805216461420059e-03 8.857926353812217712e-03 9.473375678062438965e-01 4.006167501211166382e-02
1.618747040629386902e-02 1.132376492023468018e-01 2.259910292923450470e-02 8.479757905006408691e-01
9.352648854255676270e-01 1.586381904780864716e-02 5.531624890863895416e-03 4.333962127566337585e-02
2.534488961100578308e-02 9.613224267959594727e-01 4.501218441873788834e-03 8.831480517983436584e-03
3.343633934855461121e-02 9.267888665199279785e-01 1.436121109873056412e-02 2.541355229914188385e-02
4.015588201582431793e-03 1.743148639798164368e-02 4.792583733797073364e-02 9.306271672248840332e-01
5.981663241982460022e-03 5.795974284410476685e-03 9.842346310615539551e-01 3.987693227827548981e-03
5.681437999010086060e-02 6.753044724464416504e-01 4.188521578907966614e-02 2.259959280490875244e-01
2.936178632080554962e-02 4.692798480391502380e-03 8.984187841415405273e-01 6.752671301364898682e-02
3.811149895191192627e-01 5.103163719177246094e-01 6.417573243379592896e-02 4.439289867877960205e-02
2.274907976388931274e-01 2.706389315426349640e-02 7.017648220062255859e-01 4.368054494261741638e-02
8.995003700256347656e-01 3.609981015324592590e-02 4.824668541550636292e-02 1.615307293832302094e-02
8.585918545722961426e-01 5.765312910079956055e-02 6.292233709245920181e-03 7.746282219886779785e-02
3.476210404187440872e-04 9.982256293296813965e-01 7.125496631488204002e-05 1.355571555905044079e-03
2.294931933283805847e-02 2.818550914525985718e-02 9.379382431507110596e-02 8.550713062286376953e-01
3.480542078614234924e-02 1.277918517589569092e-01 8.500795811414718628e-02 7.523947954177856445e-01
2.725922763347625732e-01 2.902982532978057861e-01 1.063321381807327271e-01 3.307773768901824951e-01
1.841721124947071075e-02 2.356922626495361328e-01 1.661027967929840088e-02 7.292802333831787109e-01
2.234517596662044525e-03 8.034392260015010834e-03 9.443356394767761230e-01 4.539537802338600159e-02
9.096113033592700958e-03 1.347340792417526245e-01 1.707056909799575806e-01 6.854640841484069824e-01
7.539097685366868973e-03 2.648921906948089600e-01 2.932507693767547607e-01 4.343179166316986084e-01
1.172956312075257301e-03 9.118565320968627930e-01 1.425804849714040756e-02 7.271236926317214966e-02
5.303713306784629822e-02 3.711193799972534180e-01 4.188320040702819824e-01 1.570114940404891968e-01
1.436742246150970459e-01 2.115195244550704956e-01 1.356010437011718750e-01 5.092051625251770020e-01
3.908386861439794302e-04 9.814494252204895020e-01 1.181075116619467735e-03 1.697866059839725494e-02
8.574271798133850098e-01 1.944525167346000671e-02 2.318538539111614227e-02 9.994217753410339355e-02
